,miscleavage_model,var_subject,var_site,var_species,missingness,method,rmse_mean,rmse_se,n
97,global,0,1,1,0.25,stoich_pep_median,0.9805165298457459,0.0904402780762004,5
98,global,0,1,1,0.5,int_mean,0.7968250810208806,0.15184492911571235,5
99,global,0,1,1,0.5,int_median,0.8022801871631575,0.14856549213932174,5
100,global,0,1,1,0.5,int_sum,2.7326512614360823,0.32314173959286424,5
101,global,0,1,1,0.5,stoich_fraction,1.126805571786931,0.1314466767848587,5
102,global,0,1,1,0.5,stoich_logit,13.445092300129422,0.6238995000057528,5
103,global,0,1,1,0.5,stoich_pep_mean,1.126805571786931,0.1314466767848587,5
104,global,0,1,1,0.5,stoich_pep_median,1.126805571786931,0.1314466767848587,5
105,global,0,1,9,0.0,int_mean,0.9150721234663077,0.1426994104371887,5
106,global,0,1,9,0.0,int_median,0.9552671443049562,0.13585167968600642,5
107,global,0,1,9,0.0,int_sum,3.787646785543351,0.4592399606391908,5
108,global,0,1,9,0.0,stoich_fraction,0.45807709273970687,0.04536036129921693,5
109,global,0,1,9,0.0,stoich_logit,0.15906546790949871,0.022901145947085755,5
110,global,0,1,9,0.0,stoich_pep_mean,0.45807709273970687,0.04536036129921693,5
111,global,0,1,9,0.0,stoich_pep_median,0.45807709273970687,0.04536036129921693,5
112,global,0,1,9,0.25,int_mean,0.6804460149250864,0.09342844936902706,5
113,global,0,1,9,0.25,int_median,0.7119333167571409,0.10170488643438999,5
114,global,0,1,9,0.25,int_sum,2.6070838813602784,0.21429160109095177,5
115,global,0,1,9,0.25,stoich_fraction,0.7644341187013248,0.0614169123015124,5
116,global,0,1,9,0.25,stoich_logit,6.788309497311668,0.681302350678885,5
117,global,0,1,9,0.25,stoich_pep_mean,0.7644341187013248,0.0614169123015124,5
118,global,0,1,9,0.25,stoich_pep_median,0.7644341187013248,0.0614169123015124,5
119,global,0,1,9,0.5,int_mean,0.7421746820540736,0.08718240781450427,5
120,global,0,1,9,0.5,int_median,0.741795767937254,0.08501727313453533,5
121,global,0,1,9,0.5,int_sum,2.755990877745741,0.23226980736842034,5
122,global,0,1,9,0.5,stoich_fraction,1.1805036354306608,0.07659776546071308,5
123,global,0,1,9,0.5,stoich_logit,11.059380843743366,0.35204040535941805,5
124,global,0,1,9,0.5,stoich_pep_mean,1.1805036354306608,0.07659776546071308,5
125,global,0,1,9,0.5,stoich_pep_median,1.1805036354306608,0.07659776546071308,5
126,global,0,9,0,0.0,int_mean,0.6517105686257173,0.029234695050966254,5
127,global,0,9,0,0.0,int_median,0.7127910535014166,0.03445987879214001,5
128,global,0,9,0,0.0,int_sum,2.8243587384586366,0.3086848281726618,5
129,global,0,9,0,0.0,stoich_fraction,0.9732101002143585,0.048156111332964,5
130,global,0,9,0,0.0,stoich_logit,0.4552845876040402,0.07927749942367437,5
131,global,0,9,0,0.0,stoich_pep_mean,0.9732101002143585,0.048156111332964,5
132,global,0,9,0,0.0,stoich_pep_median,0.9732101002143585,0.048156111332964,5
133,global,0,9,0,0.25,int_mean,0.8836168505691049,0.11284663314046586,5
134,global,0,9,0,0.25,int_median,0.9066278885235398,0.09906221110603383,5
135,global,0,9,0,0.25,int_sum,2.6194621652071777,0.29931684159323313,5
136,global,0,9,0,0.25,stoich_fraction,1.4501139473394227,0.14175251942081105,5
137,global,0,9,0,0.25,stoich_logit,6.607680870446272,0.5299036352648415,5
138,global,0,9,0,0.25,stoich_pep_mean,1.4501139473394227,0.14175251942081105,5
139,global,0,9,0,0.25,stoich_pep_median,1.4501139473394227,0.14175251942081105,5
140,global,0,9,0,0.5,int_mean,0.8554021585479988,0.09404255537361263,5
141,global,0,9,0,0.5,int_median,0.8680863246579882,0.10294651371358923,5
142,global,0,9,0,0.5,int_sum,3.251276198194495,0.632494563634217,5
143,global,0,9,0,0.5,stoich_fraction,1.3852059875749494,0.07062134980049045,5
144,global,0,9,0,0.5,stoich_logit,11.286882877848678,0.6153758130262454,5
145,global,0,9,0,0.5,stoich_pep_mean,1.3852059875749494,0.07062134980049045,5
146,global,0,9,0,0.5,stoich_pep_median,1.3852059875749494,0.07062134980049045,5
147,global,0,9,1,0.0,int_mean,0.8351315460127668,0.07997944630498423,5
