protein_length,abundance,missingness,miscleavage_rate,var_subject,var_site,n_proteins,method,rmse_mean,rmse_se,n
100,100,0.0,0.0,0.0,1.0,10,rollup/median,0.8518938289607421,0.10227070255557727,5
100,100,0.0,0.0,0.0,1.0,10,rollup/sum,1.716080196958755,0.0987108055712842,5
100,100,0.0,0.0,0.0,1.0,10,rrollup/mean,0.7607722987806514,0.08602782139897722,5
100,100,0.0,0.0,0.0,1.0,10,rrollup/median,0.7893732052852724,0.08683417918019075,5
100,100,0.0,0.0,0.0,1.0,10,rrollup/sum,1.716080196958755,0.09871080557128438,5
100,100,0.0,0.0,0.0,1.0,10,zrollup/mean,1.3428038797480988,0.06427211379921824,5
100,100,0.0,0.0,0.0,1.0,10,zrollup/median,1.3881593583963998,0.06050765030351945,5
100,100,0.0,0.0,0.0,1.0,10,zrollup/sum,1.8372449126064232,0.0463701216065388,5
100,100,0.0,0.0,0.0,9.0,5,rollup/mean,0.545019031575587,0.07920635250367249,5
100,100,0.0,0.0,0.0,9.0,5,rollup/median,0.6791659373997015,0.08732679115333852,5
100,100,0.0,0.0,0.0,9.0,5,rollup/sum,1.5853620156637291,0.3586695186927212,5
100,100,0.0,0.0,0.0,9.0,5,rrollup/mean,0.5450190315755868,0.0792063525036725,5
100,100,0.0,0.0,0.0,9.0,5,rrollup/median,0.5753968117787398,0.07931798398846204,5
100,100,0.0,0.0,0.0,9.0,5,rrollup/sum,1.5853620156637285,0.35866951869272085,5
100,100,0.0,0.0,0.0,9.0,5,zrollup/mean,1.3477137387517621,0.08677073060545877,5
100,100,0.0,0.0,0.0,9.0,5,zrollup/median,1.3963309580148517,0.05977100018514915,5
100,100,0.0,0.0,0.0,9.0,5,zrollup/sum,2.0006023344960946,0.14169285041604454,5
100,100,0.0,0.0,0.0,9.0,10,rollup/mean,0.8239517079375543,0.0873467860464656,5
100,100,0.0,0.0,0.0,9.0,10,rollup/median,0.9538322369805785,0.05960849674509381,5
100,100,0.0,0.0,0.0,9.0,10,rollup/sum,2.1976461106241008,0.22549912037287928,5
100,100,0.0,0.0,0.0,9.0,10,rrollup/mean,0.8239517079375543,0.08734678604646565,5
